^LDH$	reaction	RDF	P07864	BQB_IS	uniprot

^PDH$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PDH$	reaction	RDF	1.2.4.1	BQB_IS	ec-code
^PDH$	reaction	RDF	R00209	BQB_IS	kegg.reaction
^PDH$	reaction	RDF	P08559	BQB_IS	uniprot
^PDH$	reaction	RDF	P11177	BQB_IS	uniprot
^PDH$	reaction	RDF	P10515	BQB_IS	uniprot
^PDH$	reaction	RDF	P09622	BQB_IS	uniprot
^PDH$	reaction	RDF	O00330	BQB_IS	uniprot

^CS$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^CS$	reaction	RDF	2.3.3.1	BQB_IS	ec-code
^CS$	reaction	RDF	R00351	BQB_IS	kegg.reaction
^CS$	reaction	RDF	O75390	BQB_IS	uniprot

^NDKGTPM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^NDKGTPM$	reaction	RDF	2.7.4.6	BQB_IS	ec-code
^NDKGTPM$	reaction	RDF	R00330	BQB_IS	kegg.reaction

# species
^glc[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glc[_]*\w*$	species	RDF	CHEBI:4167	BQB_IS	chebi	D-glucopyranose
^glc[_]*\w*$	species	RDF	C00031	BQB_IS	kegg.compound	D-Glucose
^glc[_]*\w*$	species	Formula	C6H12O6
^glc[_]*\w*$	species	Charge	0

^atp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^atp[_]*\w*$	species	RDF	CHEBI:30616	BQB_IS	chebi	ATP(4-)
^atp[_]*\w*$	species	RDF	C00002	BQB_IS_VERSION_OF	kegg.compound	ATP
^atp[_]*\w*$	species	Formula	C10H12N5O13P3
^atp[_]*\w*$	species	Charge	-4

^adp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^adp[_]*\w*$	species	RDF	CHEBI:456216	BQB_IS	chebi	ADP(3-)
^adp[_]*\w*$	species	RDF	C00008	BQB_IS_VERSION_OF	kegg.compound	ADP
^adp[_]*\w*$	species	Formula	C10H12N5O10P2
^adp[_]*\w*$	species	Charge	-3

^amp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^amp[_]*\w*$	species	RDF	C00020	BQB_IS	kegg.compound
^amp[_]*\w*$	species	RDF	CHEBI:16027	BQB_IS	chebi

^utp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^utp[_]*\w*$	species	RDF	CHEBI:46398	BQB_IS	chebi	UTP(4-)
^utp[_]*\w*$	species	RDF	C00075	BQB_IS_VERSION_OF	kegg.compound	UTP
^utp[_]*\w*$	species	Formula	C9H11N2O15P3
^utp[_]*\w*$	species	Charge	-4

^udp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^udp[_]*\w*$	species	RDF	CHEBI:58223	BQB_IS	chebi	UDP(3-)
^udp[_]*\w*$	species	RDF	C00015	BQB_IS_VERSION_OF	kegg.compound	UDP
^udp[_]*\w*$	species	Formula	C9H11N2O12P2
^udp[_]*\w*$	species	Charge	-3

^gtp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^gtp[_]*\w*$	species	RDF	C00044	BQB_IS	kegg.compound
^gtp[_]*\w*$	species	RDF	CHEBI:15996	BQB_IS	chebi

^gdp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^gdp[_]*\w*$	species	RDF	C00035	BQB_IS	kegg.compound
^gdp[_]*\w*$	species	RDF	CHEBI:17552	BQB_IS	chebi

^nad[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^nad[_]*\w*$	species	RDF	C00003	BQB_IS	kegg.compound
^nad[_]*\w*$	species	RDF	CHEBI:15846	BQB_IS	chebi

^nadh[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^nadh[_]*\w*$	species	RDF	C00004	BQB_IS	kegg.compound
^nadh[_]*\w*$	species	RDF	CHEBI:16908	BQB_IS	chebi

^phos[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^phos[_]*\w*$	species	RDF	CHEBI:43474	BQB_IS	chebi	hydrogenphosphate
^phos[_]*\w*$	species	RDF	C00009	BQB_IS_VERSION_OF	kegg.compound	Phosphate
^phos[_]*\w*$	species	Formula	HO4P
^phos[_]*\w*$	species	Charge	-2

^pp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pp[_]*\w*$	species	RDF	CHEBI:33019	BQB_IS	chebi	diphosphate(3-)
^pp[_]*\w*$	species	RDF	C00013	BQB_IS_VERSION_OF	kegg.compound	Diphosphate
^pp[_]*\w*$	species	Formula	HO7P2
^pp[_]*\w*$	species	Charge	-3

^h2o[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h2o[_]*\w*$	species	RDF	CHEBI:15377	BQB_IS	chebi	water
^h2o[_]*\w*$	species	RDF	C00001	BQB_IS	kegg.compound	H2O
^h2o[_]*\w*$	species	Formula	H2O
^h2o[_]*\w*$	species	Charge	0

^co2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^co2[_]*\w*$	species	RDF	CHEBI:16526	BQB_IS	chebi	carbon dioxide
^co2[_]*\w*$	species	RDF	C00011	BQB_IS	kegg.compound	CO2
^co2[_]*\w*$	species	Formula	CO2
^co2[_]*\w*$	species	Charge	0

^h[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h[_]*\w*$	species	RDF	CHEBI:15378	BQB_IS	chebi	hydron
^h[_]*\w*$	species	RDF	C00080	BQB_IS	kegg.compound	H+
^h[_]*\w*$	species	Formula	H
^h[_]*\w*$	species	Charge	+1

^h2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h2[_]*\w*$	species	RDF	CHEBI:18276	BQB_IS	chebi	dihydrogen
^h2[_]*\w*$	species	RDF	C00282	BQB_IS	kegg.compound	Hydrogen
^h2[_]*\w*$	species	Formula	H2
^h2[_]*\w*$	species	Charge	0

^glc1p[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glc1p[_]*\w*$	species	RDF	C00103	BQB_IS	kegg.compound	D-Glucose 1-phosphate
^glc1p[_]*\w*$	species	RDF	CHEBI:58601	BQB_IS	chebi	alpha-D-glucose 1-phosphate(2-)
^glc1p[_]*\w*$	species	Formula	C6H11O9P
^glc1p[_]*\w*$	species	Charge	-2

^udpglc[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^udpglc[_]*\w*$	species	RDF	C00029	BQB_IS_VERSION_OF	kegg.compound	UDP-glucose
^udpglc[_]*\w*$	species	RDF	CHEBI:58885	BQB_IS	chebi	UDP-alpha-D-glucose(2-)
^udpglc[_]*\w*$	species	Formula	C15H22N2O17P2
^udpglc[_]*\w*$	species	Charge	-2

^glyglc[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glyglc[_]*\w*$	species	RDF	C00182	BQB_IS_VERSION_OF	kegg.compound
^glyglc[_]*\w*$	species	RDF	CHEBI:28087	BQB_IS_VERSION_OF	chebi
^glyglc[_]*\w*$	species	Formula	C6H12O6
^glyglc[_]*\w*$	species	Charge	0

^glc6p[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glc6p[_]*\w*$	species	RDF	C00668	BQB_IS_VERSION_OF	kegg.compound	alpha-D-Glucose 6-phosphate
^glc6p[_]*\w*$	species	RDF	CHEBI:61548	BQB_IS	chebi	D-glucopyranose 6-phosphate(2-)
^glc6p[_]*\w*$	species	Formula	C6H11O9P
^glc6p[_]*\w*$	species	Charge	-2

^fru6p[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^fru6p[_]*\w*$	species	RDF	C00085	BQB_IS	kegg.compound
^fru6p[_]*\w*$	species	RDF	CHEBI:57579	BQB_IS	chebi	D-fructose 6-phosphate(2−)
^fru6p[_]*\w*$	species	Formula	C6H11O9P
^fru6p[_]*\w*$	species	Charge	-2

^fru16bp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^fru16bp[_]*\w*$	species	RDF	C00354	BQB_IS	kegg.compound
^fru16bp[_]*\w*$	species	RDF	CHEBI:16905	BQB_IS	chebi

^fru26bp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^fru26bp[_]*\w*$	species	RDF	C00665	BQB_IS	kegg.compound
^fru26bp[_]*\w*$	species	RDF	CHEBI:28602	BQB_IS	chebi

^grap[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^grap[_]*\w*$	species	RDF	C00118	BQB_IS	kegg.compound
^grap[_]*\w*$	species	RDF	CHEBI:29052	BQB_IS	chebi

^dhap[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^dhap[_]*\w*$	species	RDF	C00111	BQB_IS	kegg.compound
^dhap[_]*\w*$	species	RDF	CHEBI:16108	BQB_IS	chebi

^bpg13[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^bpg13[_]*\w*$	species	RDF	C00236	BQB_IS	kegg.compound
^bpg13[_]*\w*$	species	RDF	CHEBI:16001	BQB_IS	chebi

^pg3[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pg3[_]*\w*$	species	RDF	C00197	BQB_IS	kegg.compound
^pg3[_]*\w*$	species	RDF	CHEBI:17794	BQB_IS	chebi

^pg2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pg2[_]*\w*$	species	RDF	C00631	BQB_IS	kegg.compound
^pg2[_]*\w*$	species	RDF	CHEBI:17835	BQB_IS	chebi

^pep[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pep[_]*\w*$	species	RDF	C00074	BQB_IS	kegg.compound
^pep[_]*\w*$	species	RDF	CHEBI:44897	BQB_IS	chebi

^pyr[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pyr[_]*\w*$	species	RDF	C00022	BQB_IS	kegg.compound
^pyr[_]*\w*$	species	RDF	CHEBI:32816	BQB_IS	chebi

^oaa[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^oaa[_]*\w*$	species	RDF	C00036	BQB_IS	kegg.compound
^oaa[_]*\w*$	species	RDF	CHEBI:30744	BQB_IS	chebi

^lac[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^lac[_]*\w*$	species	RDF	C00186	BQB_IS	kegg.compound
^lac[_]*\w*$	species	RDF	CHEBI:422	BQB_IS	chebi

^acoa[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^acoa[_]*\w*$	species	RDF	C00024	BQB_IS	kegg.compound
^acoa[_]*\w*$	species	RDF	CHEBI:15351	BQB_IS	chebi

^cit[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^cit[_]*\w*$	species	RDF	C00158	BQB_IS	kegg.compound
^cit[_]*\w*$	species	RDF	CHEBI:30769	BQB_IS	chebi

^coa[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^coa[_]*\w*$	species	RDF	C00010	BQB_IS	kegg.compound
^coa[_]*\w*$	species	RDF	CHEBI:15346	BQB_IS	chebi

# rules
^[\w_]*_tot$	parameter	RDF	SBO:0000359	BQB_IS	biomodels.sbo	mass conservation law
