SBMLId	SBMLType	AnnotationType	AnnotationId	AnnotationQualifier	AnnotationSource
c__GALE	reaction	RDF	22171	is	urn:miriam:rhea
c__GALE	reaction	RDF	R00291	is	urn:miriam:kegg.reaction
c__GALE	reaction	RDF	230350	hasProperty	urn:miriam:omim
GALE_k_udpgal	parameter	RDF	19823	is	urn:miriam:sabiork.kineticrecord
GALE_k_udpgal	parameter	RDF	46260	is	urn:miriam:sabiork.kineticrecord
GALE_kcat	parameter	RDF	16222	is	urn:miriam:sabiork.kineticrecord
GALE_k_udpgal	parameter	RDF	46263	is	urn:miriam:sabiork.kineticrecord
					
c__UGP	reaction	RDF	2.7.7.9	is	urn:miriam:ec-code
c__UGP	reaction	RDF	19892	is	urn:miriam:rhea
c__UGP	reaction	RDF	R00289	is	urn:miriam:kegg.reaction
c__UGP	reaction	RDF	Q16851	is	urn:miriam:uniprot
c__UGALP	reaction	RDF	2.7.7.10	is	urn:miriam:ec-code
c__UGALP	reaction	RDF	14212	is	urn:miriam:rhea
c__UGALP	reaction	RDF	R00502	is	urn:miriam:kegg.reaction
c__UGALP	reaction	RDF	Q16851	is	urn:miriam:uniprot
					
c__ALDR	reaction	RDF	1.1.1.21	is	urn:miriam:ec-code
c__ALDR	reaction	RDF	12792	is	urn:miriam:rhea
c__ALDR	reaction	RDF	R01095	is	urn:miriam:kegg.reaction
c__ALDR	reaction	RDF	P15121	is	urn:miriam:uniprot
ALDR_k_gal	parameter	RDF	22893	is	urn:miriam:sabiork.kineticrecord
ALDR_kcat	parameter	RDF	22893	is	urn:miriam:sabiork.kineticrecord
ALDR_k_gal	parameter	RDF	15695	is	urn:miriam:sabiork.kineticrecord
					
c__PGM1	reaction	RDF	5.4.2.2	is	urn:miriam:ec-code
c__PGM1	reaction	RDF	23539	is	urn:miriam:rhea
c__PGM1	reaction	RDF	R00959	is	urn:miriam:kegg.reaction
c__PGM1	reaction	RDF	P36871	is	urn:miriam:uniprot
c__PGM1	reaction	RDF	612934	hasProperty	urn:miriam:omim
c__PGM1	reaction	RDF	614921	hasProperty	urn:miriam:omim
					
c__PPASE	reaction	RDF	3.6.1.1	is	urn:miriam:ec-code
c__PPASE	reaction	RDF	24579	is	urn:miriam:rhea
c__PPASE	reaction	RDF	R00004	is	urn:miriam:kegg.reaction
c__PPASE	reaction	RDF	Q15181	is	urn:miriam:uniprot
					
c__NDKU	reaction	RDF	2.7.4.6	is	urn:miriam:ec-code
c__NDKU	reaction	RDF	25101	is	urn:miriam:rhea
c__NDKU	reaction	RDF	R00156	is	urn:miriam:kegg.reaction
					
c__NADPR	reaction	RDF	1.1.1.49	is	urn:miriam:ec-code
c__NADPR	reaction	RDF	15844	is	urn:miriam:rhea
c__NADPR	reaction	RDF	R00835	is	urn:miriam:kegg.reaction
c__NADPR	reaction	RDF	P11413	is	urn:miriam:uniprot
					
					
					
c__glc	species	RDF	CHEBI%3A4167	is	urn:miriam:obo.chebi
c__glc	species	RDF	C00031	is	urn:miriam:kegg.compound
					
c__gal	species	RDF	CHEBI%3A4139	is	urn:miriam:obo.chebi
c__gal	species	RDF	C00124	is	urn:miriam:kegg.compound
c__galM	species	RDF	CHEBI%3A4139	is	urn:miriam:obo.chebi
c__galM	species	RDF	C00124	is	urn:miriam:kegg.compound
					
c__glc1p	species	RDF	CHEBI%3A58601	is	urn:miriam:obo.chebi
c__glc1p	species	RDF	C00103	is	urn:miriam:kegg.compound
					
c__glc6p	species	RDF	CHEBI%3A58225	is	urn:miriam:obo.chebi
c__glc6p	species	RDF	C00668	is	urn:miriam:kegg.compound
					
c__gal1p	species	RDF	CHEBI%3A58336	is	urn:miriam:obo.chebi
c__gal1p	species	RDF	C00446	is	urn:miriam:kegg.compound
					
c__udpglc	species	RDF	CHEBI%3A58885	is	urn:miriam:obo.chebi
c__udpglc	species	RDF	C00029	is	urn:miriam:kegg.compound
					
c__udpgal	species	RDF	CHEBI%3A66914	is	urn:miriam:obo.chebi
c__udpgal	species	RDF	C00052	is	urn:miriam:kegg.compound
					
c__galtol	species	RDF	CHEBI%3A456216	is	urn:miriam:obo.chebi
c__galtol	species	RDF	C01697	is	urn:miriam:kegg.compound
					
c__atp	species	RDF	CHEBI%3A30616	is	urn:miriam:obo.chebi
c__atp	species	RDF	C00002	is	urn:miriam:kegg.compound
					
c__adp	species	RDF	CHEBI%3A456216	is	urn:miriam:obo.chebi
c__adp	species	RDF	C00008	is	urn:miriam:kegg.compound
					
c__utp	species	RDF	CHEBI%3A46398	is	urn:miriam:obo.chebi
c__utp	species	RDF	C00075	is	urn:miriam:kegg.compound
					
c__udp	species	RDF	CHEBI%3A58223	is	urn:miriam:obo.chebi
c__udp	species	RDF	C00015	is	urn:miriam:kegg.compound
					
c__phos	species	RDF	CHEBI%3A33019	is	urn:miriam:obo.chebi
c__phos	species	RDF	C00009	is	urn:miriam:kegg.compound
					
c__ppi	species	RDF	CHEBI%3A33019	is	urn:miriam:obo.chebi
c__ppi	species	RDF	C00013	is	urn:miriam:kegg.compound
					
c__nadp	species	RDF	CHEBI%3A58349	is	urn:miriam:obo.chebi
c__nadp	species	RDF	C00006	is	urn:miriam:kegg.compound
					
c__nadph	species	RDF	CHEBI%3A57783	is	urn:miriam:obo.chebi
c__nadph	species	RDF	C00005	is	urn:miriam:kegg.compound
					
c__suc	species	RDF	CHEBI%3A17992	is	urn:miriam:obo.chebi
c__suc	species	RDF	C00089	is	urn:miriam:kegg.compound
					
c__h2o	species	RDF	CHEBI%3A15377	is	urn:miriam:obo.chebi
c__h2o	species	RDF	C00001	is	urn:miriam:kegg.compound
