y	x	sex	link	mu.formula	sigma.formula	df	N	data
flowLiver	age	A	BCCG	cs(age, 5)	cs(age, 1)	11.1	1489	bra1945(23), bra1952(91), cat2010(1197), ircp2001(12), she1950(32), tyg1957(13), win1965(7), wyn1989(65), wyn1990(9), zol1999(40)
flowLiver	age	M	BCCG	cs(age, 4)	cs(age, 1)	10.0	834	bra1945(18), bra1952(73), cat2010(657), ircp2001(6), she1950(29), tyg1957(13), win1965(5), wyn1989(33), wyn1990(0), zol1999(0)
flowLiver	age	F	BCCG	cs(age, 4)	cs(age, 1)	10.0	606	bra1945(5), bra1952(18), cat2010(540), ircp2001(6), she1950(3), tyg1957(0), win1965(2), wyn1989(32), wyn1990(0), zol1999(0)
flowLiverkg	age	A	BCCG	cs(age, 5)	1	9.0	1319	cat2010(1197), she1950(32), tyg1957(13), win1965(7), wyn1989(65), zol1993(5)
flowLiverkg	age	M	BCCG	cs(age, 4)	1	8.0	740	cat2010(657), she1950(29), tyg1957(13), win1965(5), wyn1989(33), zol1993(3)
flowLiverkg	age	F	BCCG	cs(age, 4)	1	8.0	579	cat2010(540), she1950(3), tyg1957(0), win1965(2), wyn1989(32), zol1993(2)
flowLiver	bodyweight	A	BCCG	cs(bodyweight, 3)	1	7.0	1999	cat2010(1197), she1950(32), sim1997(692), tyg1957(13), wyn1989(65)
flowLiver	bodyweight	M	BCCG	cs(bodyweight, 3)	1	7.0	732	cat2010(657), she1950(29), sim1997(0), tyg1957(13), wyn1989(33)
flowLiver	bodyweight	F	BCCG	cs(bodyweight, 3)	1	7.0	575	cat2010(540), she1950(3), sim1997(0), tyg1957(0), wyn1989(32)
flowLiverkg	bodyweight	A	BCCG	cs(bodyweight, 2)	1	6.0	1999	cat2010(1197), she1950(32), sim1997(692), tyg1957(13), wyn1989(65)
flowLiverkg	bodyweight	M	BCCG	cs(bodyweight, 2)	1	6.0	732	cat2010(657), she1950(29), sim1997(0), tyg1957(13), wyn1989(33)
flowLiverkg	bodyweight	F	BCCG	cs(bodyweight, 2)	1	6.0	575	cat2010(540), she1950(3), sim1997(0), tyg1957(0), wyn1989(32)
flowLiver	BSA	A	BCCG	cs(BSA, 2)	1	6.0	1356	bra1945(23), bra1952(91), cat2010(1197), she1950(32), tyg1957(13)
flowLiver	BSA	M	BCCG	cs(BSA, 2)	1	6.0	790	bra1945(18), bra1952(73), cat2010(657), she1950(29), tyg1957(13)
flowLiver	BSA	F	BCCG	cs(BSA, 2)	1	6.0	566	bra1945(5), bra1952(18), cat2010(540), she1950(3), tyg1957(0)
flowLiverkg	BSA	A	BCCG	cs(BSA, 2)	1	6.0	1242	cat2010(1197), she1950(32), tyg1957(13)
flowLiverkg	BSA	M	BCCG	cs(BSA, 2)	1	6.0	699	cat2010(657), she1950(29), tyg1957(13)
flowLiverkg	BSA	F	BCCG	cs(BSA, 2)	1	6.0	543	cat2010(540), she1950(3), tyg1957(0)
