^PEPCKM$	reaction	RDF	4.1.1.32	BQB_IS	ec-code
^PEPCKM$	reaction	RDF	10391	BQB_IS	rhea
^PEPCKM$	reaction	RDF	R00431	BQB_IS	kegg.reaction
^PEPCKM$	reaction	RDF	Q16822	BQB_IS	uniprot

^PC$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PC$	reaction	RDF	6.4.1.1	BQB_IS	ec-code
^PC$	reaction	RDF	20847	BQB_IS_VERSION_OF	rhea
^PC$	reaction	RDF	R00344	BQB_IS	kegg.reaction
^PC$	reaction	RDF	P11498	BQB_IS	uniprot

^LDH$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^LDH$	reaction	RDF	1.1.1.27	BQB_IS	ec-code
^LDH$	reaction	RDF	23447	BQB_IS	rhea
^LDH$	reaction	RDF	R00703	BQB_IS	kegg.reaction
^LDH$	reaction	RDF	P00338	BQB_IS	uniprot
^LDH$	reaction	RDF	P07195	BQB_IS	uniprot
^LDH$	reaction	RDF	P07864	BQB_IS	uniprot

^PDH$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PDH$	reaction	RDF	1.2.4.1	BQB_IS	ec-code
^PDH$	reaction	RDF	28045	BQB_IS	rhea
^PDH$	reaction	RDF	R00209	BQB_IS	kegg.reaction
^PDH$	reaction	RDF	P08559	BQB_IS	uniprot
^PDH$	reaction	RDF	P11177	BQB_IS	uniprot
^PDH$	reaction	RDF	P10515	BQB_IS	uniprot
^PDH$	reaction	RDF	P09622	BQB_IS	uniprot
^PDH$	reaction	RDF	O00330	BQB_IS	uniprot

^CS$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^CS$	reaction	RDF	2.3.3.1	BQB_IS	ec-code
^CS$	reaction	RDF	16848	BQB_IS	rhea
^CS$	reaction	RDF	R00351	BQB_IS	kegg.reaction
^CS$	reaction	RDF	O75390	BQB_IS	uniprot

^NDKGTPM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^NDKGTP$	reaction	RDF	27689	BQB_IS	rhea
^NDKGTPM$	reaction	RDF	2.7.4.6	BQB_IS	ec-code
^NDKGTPM$	reaction	RDF	R00330	BQB_IS	kegg.reaction

# species
^caf[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^caf[_]*\w*$	species	RDF	CHEBI:27732	BQB_IS	chebi	caffeine
^caf[_]*\w*$	species	RDF	C07481	BQB_IS	kegg.compound	caffeine
^caf[_]*\w*$	species	Formula	C8H10N4O2
^caf[_]*\w*$	species	Charge	0

^px[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^px[_]*\w*$	species	RDF	CHEBI:25858	BQB_IS	chebi	1,7-dimethylxanthine
^px[_]*\w*$	species	RDF	C13747	BQB_IS	kegg.compound	1,7-dimethylxanthine
^px[_]*\w*$	species	Formula	C7H8N4O2
^px[_]*\w*$	species	Charge	0

^tb[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^tb[_]*\w*$	species	RDF	CHEBI:28946	BQB_IS	chebi	theobromine
^tb[_]*\w*$	species	RDF	C07480	BQB_IS	kegg.compound	theobromine
^tb[_]*\w*$	species	Formula	C7H8N4O2
^tb[_]*\w*$	species	Charge	0

^tp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^tp[_]*\w*$	species	RDF	CHEBI:28177	BQB_IS	chebi	theophylline
^tp[_]*\w*$	species	RDF	C07130	BQB_IS	kegg.compound	theophylline
^tp[_]*\w*$	species	Formula	C7H8N4O2
^tp[_]*\w*$	species	Charge	0

^atp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^atp[_]*\w*$	species	RDF	CHEBI:30616	BQB_IS	chebi	ATP(4-)
^atp[_]*\w*$	species	RDF	C00002	BQB_IS_VERSION_OF	kegg.compound	ATP
^atp[_]*\w*$	species	Formula	C10H12N5O13P3
^atp[_]*\w*$	species	Charge	-4

^adp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^adp[_]*\w*$	species	RDF	CHEBI:456216	BQB_IS	chebi	ADP(3-)
^adp[_]*\w*$	species	RDF	C00008	BQB_IS_VERSION_OF	kegg.compound	ADP
^adp[_]*\w*$	species	Formula	C10H12N5O10P2
^adp[_]*\w*$	species	Charge	-3

^amp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^amp[_]*\w*$	species	RDF	CHEBI:456215	BQB_IS	chebi	AMP(2-)
^amp[_]*\w*$	species	RDF	C00020	BQB_IS_VERSION_OF	kegg.compound	AMP
^amp[_]*\w*$	species	Formula	C10H12N5O7P
^amp[_]*\w*$	species	Charge	-2

^utp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^utp[_]*\w*$	species	RDF	CHEBI:46398	BQB_IS	chebi	UTP(4-)
^utp[_]*\w*$	species	RDF	C00075	BQB_IS_VERSION_OF	kegg.compound	UTP
^utp[_]*\w*$	species	Formula	C9H11N2O15P3
^utp[_]*\w*$	species	Charge	-4

^udp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^udp[_]*\w*$	species	RDF	CHEBI:58223	BQB_IS	chebi	UDP(3-)
^udp[_]*\w*$	species	RDF	C00015	BQB_IS_VERSION_OF	kegg.compound	UDP
^udp[_]*\w*$	species	Formula	C9H11N2O12P2
^udp[_]*\w*$	species	Charge	-3

^gtp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^gtp[_]*\w*$	species	RDF	C00044	BQB_IS_VERSION_OF	kegg.compound
^gtp[_]*\w*$	species	RDF	CHEBI:37565	BQB_IS	chebi	GTP(4-)
^gtp[_]*\w*$	species	Formula	C10H12N5O14P3
^gtp[_]*\w*$	species	Charge	-4

^gdp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^gdp[_]*\w*$	species	RDF	C00035	BQB_IS_VERSION_OF	kegg.compound
^gdp[_]*\w*$	species	RDF	CHEBI:58189	BQB_IS	chebi	GDP(3−)
^gdp[_]*\w*$	species	Formula	C10H12N5O11P2
^gdp[_]*\w*$	species	Charge	-3

^nad[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^nad[_]*\w*$	species	RDF	C00003	BQB_IS_VERSION_OF	kegg.compound
^nad[_]*\w*$	species	RDF	CHEBI:57540	BQB_IS	chebi	NAD(1-)
^nad[_]*\w*$	species	Formula	C21H26N7O14P2
^nad[_]*\w*$	species	Charge	-1

^nadh[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^nadh[_]*\w*$	species	RDF	C00004	BQB_IS_VERSION_OF	kegg.compound
^nadh[_]*\w*$	species	RDF	CHEBI:57945	BQB_IS	chebi	NADH(2-)
^nadh[_]*\w*$	species	Formula	C21H27N7O14P2
^nadh[_]*\w*$	species	Charge	-2

^phos[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^phos[_]*\w*$	species	RDF	CHEBI:43474	BQB_IS	chebi	hydrogenphosphate
^phos[_]*\w*$	species	RDF	C00009	BQB_IS_VERSION_OF	kegg.compound	Phosphate
^phos[_]*\w*$	species	Formula	HO4P
^phos[_]*\w*$	species	Charge	-2

^pp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pp[_]*\w*$	species	RDF	CHEBI:33019	BQB_IS	chebi	diphosphate(3-)
^pp[_]*\w*$	species	RDF	C00013	BQB_IS_VERSION_OF	kegg.compound	Diphosphate
^pp[_]*\w*$	species	Formula	HO7P2
^pp[_]*\w*$	species	Charge	-3

^co2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^co2[_]*\w*$	species	RDF	CHEBI:16526	BQB_IS	chebi	carbon dioxide
^co2[_]*\w*$	species	RDF	C00011	BQB_IS	kegg.compound	CO2
^co2[_]*\w*$	species	Formula	CO2
^co2[_]*\w*$	species	Charge	0

^h[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h[_]*\w*$	species	RDF	CHEBI:15378	BQB_IS	chebi	hydron
^h[_]*\w*$	species	RDF	C00080	BQB_IS	kegg.compound	H+
^h[_]*\w*$	species	Formula	H
^h[_]*\w*$	species	Charge	+1

^h2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h2[_]*\w*$	species	RDF	CHEBI:18276	BQB_IS	chebi	dihydrogen
^h2[_]*\w*$	species	RDF	C00282	BQB_IS	kegg.compound	Hydrogen
^h2[_]*\w*$	species	Formula	H2
^h2[_]*\w*$	species	Charge	0

^h2o[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h2o[_]*\w*$	species	RDF	CHEBI:15377	BQB_IS	chebi	water
^h2o[_]*\w*$	species	RDF	C00001	BQB_IS	kegg.compound	H2O
^h2o[_]*\w*$	species	Formula	H2O
^h2o[_]*\w*$	species	Charge	0


# rules
^[\w_]*_tot$	rule	RDF	SBO:0000359	BQB_IS	biomodels.sbo	mass conservation law
