study	status	sex	ageClass	ageMin	ageMax	bodyweight	COkg	CO	flowLiver	flowLiverkg	dtype
sim1997	healthy	all	0 to 17 years	0	17	18.74	136.31	2553.95	638.4875	34.0775	individual
sim1997	healthy	all	0 to 17 years	0	17	17.85	150.43	2685.06	671.265	37.6075	individual
sim1997	healthy	all	0 to 17 years	0	17	18.72	151.49	2835.75	708.9375	37.8725	individual
sim1997	healthy	all	0 to 17 years	0	17	18.62	174.24	3244.83	811.2075	43.56	individual
sim1997	healthy	all	0 to 17 years	0	17	19.78	177.37	3508.65	877.1625	44.3425	individual
sim1997	healthy	all	0 to 17 years	0	17	20.72	180.16	3733.22	933.305	45.04	individual
sim1997	healthy	all	0 to 17 years	0	17	21.3	183.27	3903.68	975.92	45.8175	individual
sim1997	healthy	all	0 to 17 years	0	17	21.73	186.04	4043.18	1010.795	46.51	individual
sim1997	healthy	all	0 to 17 years	0	17	23.84	184.37	4395.43	1098.8575	46.0925	individual
sim1997	healthy	all	0 to 17 years	0	17	23.85	179.2	4273.11	1068.2775	44.8	individual
sim1997	healthy	all	0 to 17 years	0	17	23.12	180.56	4174.19	1043.5475	45.14	individual
sim1997	healthy	all	0 to 17 years	0	17	22.83	177.45	4051.33	1012.8325	44.3625	individual
sim1997	healthy	all	0 to 17 years	0	17	21.82	175.35	3825.65	956.4125	43.8375	individual
sim1997	healthy	all	0 to 17 years	0	17	21.6	172.25	3720.87	930.2175	43.0625	individual
sim1997	healthy	all	0 to 17 years	0	17	22.33	170.54	3808.17	952.0425	42.635	individual
sim1997	healthy	all	0 to 17 years	0	17	21.68	169.14	3666.72	916.68	42.285	individual
sim1997	healthy	all	0 to 17 years	0	17	19.79	171.51	3393.78	848.445	42.8775	individual
sim1997	healthy	all	0 to 17 years	0	17	20.81	168.78	3511.77	877.9425	42.195	individual
sim1997	healthy	all	0 to 17 years	0	17	20.81	166.02	3454.86	863.715	41.505	individual
sim1997	healthy	all	0 to 17 years	0	17	19.73	158.75	3131.93	782.9825	39.6875	individual
sim1997	healthy	all	0 to 17 years	0	17	19.74	152.55	3010.49	752.6225	38.1375	individual
sim1997	healthy	all	0 to 17 years	0	17	19.88	149.79	2978.32	744.58	37.4475	individual
sim1997	healthy	all	0 to 17 years	0	17	20.82	152.57	3177.21	794.3025	38.1425	individual
sim1997	healthy	all	0 to 17 years	0	17	21.26	156.72	3331.19	832.7975	39.18	individual
sim1997	healthy	all	0 to 17 years	0	17	21.76	161.22	3507.91	876.9775	40.305	individual
sim1997	healthy	all	0 to 17 years	0	17	23.86	168.51	4020.14	1005.035	42.1275	individual
sim1997	healthy	all	0 to 17 years	0	17	22.92	159.17	3648.8	912.2	39.7925	individual
sim1997	healthy	all	0 to 17 years	0	17	22.85	155.72	3558.98	889.745	38.93	individual
sim1997	healthy	all	0 to 17 years	0	17	22.86	152.97	3496.39	874.0975	38.2425	individual
sim1997	healthy	all	0 to 17 years	0	17	21.77	153.97	3351.54	837.885	38.4925	individual
sim1997	healthy	all	0 to 17 years	0	17	21.7	151.56	3288.34	822.085	37.89	individual
sim1997	healthy	all	0 to 17 years	0	17	21.7	148.46	3221.5	805.375	37.115	individual
sim1997	healthy	all	0 to 17 years	0	17	21.78	145.35	3165.24	791.31	36.3375	individual
sim1997	healthy	all	0 to 17 years	0	17	20.83	145.33	3027.54	756.885	36.3325	individual
sim1997	healthy	all	0 to 17 years	0	17	21.71	141.9	3080.33	770.0825	35.475	individual
sim1997	healthy	all	0 to 17 years	0	17	22.79	143.65	3274.54	818.635	35.9125	individual
sim1997	healthy	all	0 to 17 years	0	17	22.72	147.79	3357.44	839.36	36.9475	individual
sim1997	healthy	all	0 to 17 years	0	17	23.67	144.02	3408.33	852.0825	36.005	individual
sim1997	healthy	all	0 to 17 years	0	17	24.46	145.07	3549	887.25	36.2675	individual
sim1997	healthy	all	0 to 17 years	0	17	24.24	151.28	3666.74	916.685	37.82	individual
sim1997	healthy	all	0 to 17 years	0	17	24.89	158.19	3936.51	984.1275	39.5475	individual
sim1997	healthy	all	0 to 17 years	0	17	25.83	159.24	4112.98	1028.245	39.81	individual
sim1997	healthy	all	0 to 17 years	0	17	25.9	162.69	4213.3	1053.325	40.6725	individual
sim1997	healthy	all	0 to 17 years	0	17	25.82	167.87	4334.08	1083.52	41.9675	individual
sim1997	healthy	all	0 to 17 years	0	17	28.93	180.35	5217.31	1304.3275	45.0875	individual
sim1997	healthy	all	0 to 17 years	0	17	30.82	174.54	5379.7	1344.925	43.635	individual
sim1997	healthy	all	0 to 17 years	0	17	32.86	168.38	5533.4	1383.35	42.095	individual
sim1997	healthy	all	0 to 17 years	0	17	28.87	164.49	4749.26	1187.315	41.1225	individual
sim1997	healthy	all	0 to 17 years	0	17	29.02	160.7	4663.84	1165.96	40.175	individual
sim1997	healthy	all	0 to 17 years	0	17	26.56	153.74	4083.49	1020.8725	38.435	individual
sim1997	healthy	all	0 to 17 years	0	17	28.81	154.14	4441.05	1110.2625	38.535	individual
sim1997	healthy	all	0 to 17 years	0	17	30.99	154.89	4799.75	1199.9375	38.7225	individual
sim1997	healthy	all	0 to 17 years	0	17	29.76	152.79	4546.43	1136.6075	38.1975	individual
sim1997	healthy	all	0 to 17 years	0	17	29.69	149.34	4433.48	1108.37	37.335	individual
sim1997	healthy	all	0 to 17 years	0	17	30.92	149.71	4629.37	1157.3425	37.4275	individual
sim1997	healthy	all	0 to 17 years	0	17	30.78	145.92	4491.37	1122.8425	36.48	individual
sim1997	healthy	all	0 to 17 years	0	17	31.65	143.18	4532.31	1133.0775	35.795	individual
sim1997	healthy	all	0 to 17 years	0	17	32.74	143.89	4711.61	1177.9025	35.9725	individual
sim1997	healthy	all	0 to 17 years	0	17	33.47	143.91	4816.69	1204.1725	35.9775	individual
sim1997	healthy	all	0 to 17 years	0	17	34.2	143.58	4910.06	1227.515	35.895	individual
sim1997	healthy	all	0 to 17 years	0	17	35.72	145.69	5203.92	1300.98	36.4225	individual
sim1997	healthy	all	0 to 17 years	0	17	37.67	152.98	5763.03	1440.7575	38.245	individual
sim1997	healthy	all	0 to 17 years	0	17	40.8	145.81	5949.53	1487.3825	36.4525	individual
sim1997	healthy	all	0 to 17 years	0	17	42.91	146.21	6273.53	1568.3825	36.5525	individual
sim1997	healthy	all	0 to 17 years	0	17	42.04	140.67	5914.14	1478.535	35.1675	individual
sim1997	healthy	all	0 to 17 years	0	17	38.99	141.29	5509.01	1377.2525	35.3225	individual
sim1997	healthy	all	0 to 17 years	0	17	34.78	140.84	4898.44	1224.61	35.21	individual
sim1997	healthy	all	0 to 17 years	0	17	34.13	136.34	4653.53	1163.3825	34.085	individual
sim1997	healthy	all	0 to 17 years	0	17	33.85	131.16	4439.38	1109.845	32.79	individual
sim1997	healthy	all	0 to 17 years	0	17	35	134.64	4712.98	1178.245	33.66	individual
sim1997	healthy	all	0 to 17 years	0	17	34.87	127.39	4441.87	1110.4675	31.8475	individual
sim1997	healthy	all	0 to 17 years	0	17	35.8	135.35	4845.81	1211.4525	33.8375	individual
sim1997	healthy	all	0 to 17 years	0	17	34.65	129.11	4473.43	1118.3575	32.2775	individual
sim1997	healthy	all	0 to 17 years	0	17	37.04	134	4963.12	1240.78	33.5	individual
sim1997	healthy	all	0 to 17 years	0	17	36.32	129.15	4690.55	1172.6375	32.2875	individual
sim1997	healthy	all	0 to 17 years	0	17	36.98	125.72	4648.52	1162.13	31.43	individual
sim1997	healthy	all	0 to 17 years	0	17	36.69	120.89	4435.27	1108.8175	30.2225	individual
sim1997	healthy	all	0 to 17 years	0	17	37.42	117.46	4395.13	1098.7825	29.365	individual
sim1997	healthy	all	0 to 17 years	0	17	37.79	113.67	4295.26	1073.815	28.4175	individual
sim1997	healthy	all	0 to 17 years	0	17	38	115.4	4385.54	1096.385	28.85	individual
sim1997	healthy	all	0 to 17 years	0	17	40.82	125.47	5122.16	1280.54	31.3675	individual
sim1997	healthy	all	0 to 17 years	0	17	39.88	122	4865.74	1216.435	30.5	individual
sim1997	healthy	all	0 to 17 years	0	17	39.89	118.55	4728.65	1182.1625	29.6375	individual
sim1997	healthy	all	0 to 17 years	0	17	39.89	113.72	4536.68	1134.17	28.43	individual
sim1997	healthy	all	0 to 17 years	0	17	40.84	109.61	4476.48	1119.12	27.4025	individual
sim1997	healthy	all	0 to 17 years	0	17	40.84	107.54	4392.22	1098.055	26.885	individual
sim1997	healthy	all	0 to 17 years	0	17	42.8	106.9	4575.66	1143.915	26.725	individual
sim1997	healthy	all	0 to 17 years	0	17	43.82	109.68	4805.97	1201.4925	27.42	individual
sim1997	healthy	all	0 to 17 years	0	17	44.83	110.05	4934	1233.5	27.5125	individual
sim1997	healthy	all	0 to 17 years	0	17	46.71	118.37	5529.53	1382.3825	29.5925	individual
sim1997	healthy	all	0 to 17 years	0	17	47.85	142.19	6803.88	1700.97	35.5475	individual
sim1997	healthy	all	0 to 17 years	0	17	49.97	133.28	6659.27	1664.8175	33.32	individual
sim1997	healthy	all	0 to 17 years	0	17	50.86	113.99	5797.17	1449.2925	28.4975	individual
sim1997	healthy	all	0 to 17 years	0	17	51.52	108.14	5571.2	1392.8	27.035	individual
sim1997	healthy	all	0 to 17 years	0	17	51.74	100.56	5203.37	1300.8425	25.14	individual
sim1997	healthy	all	0 to 17 years	0	17	52.84	98.52	5205.21	1301.3025	24.63	individual
sim1997	healthy	all	0 to 17 years	0	17	52.92	89.9	4757.19	1189.2975	22.475	individual
sim1997	healthy	all	0 to 17 years	0	17	53.93	93.03	5016.98	1254.245	23.2575	individual
sim1997	healthy	all	0 to 17 years	0	17	54.87	98.57	5408.23	1352.0575	24.6425	individual
sim1997	healthy	all	0 to 17 years	0	17	53.77	103.37	5558.53	1389.6325	25.8425	individual
sim1997	healthy	all	0 to 17 years	0	17	53.83	119.23	6418.21	1604.5525	29.8075	individual
sim1997	healthy	all	0 to 17 years	0	17	60.78	135.61	8242.69	2060.6725	33.9025	individual
sim1997	healthy	all	0 to 17 years	0	17	55.97	87.21	4881.37	1220.3425	21.8025	individual
sim1997	healthy	all	0 to 17 years	0	17	56.92	83.44	4749.47	1187.3675	20.86	individual
sim1997	healthy	all	0 to 17 years	0	17	58.87	87.97	5179.38	1294.845	21.9925	individual
sim1997	healthy	all	0 to 17 years	0	17	60.83	94.23	5731.71	1432.9275	23.5575	individual
sim1997	healthy	all	0 to 17 years	0	17	61.92	94.6	5857.3	1464.325	23.65	individual
sim1997	healthy	all	0 to 17 years	0	17	63.87	101.54	6485.58	1621.395	25.385	individual
sim1997	healthy	all	0 to 17 years	0	17	67.87	96.47	6547.21	1636.8025	24.1175	individual
sim1997	healthy	all	0 to 17 years	0	17	66.94	85.41	5717.14	1429.285	21.3525	individual
sim1997	healthy	all	0 to 17 years	0	17	78.99	90.53	7150.59	1787.6475	22.6325	individual
sim1997	healthy	all	0 to 17 years	0	17	84.89	75.84	6437.96	1609.49	18.96	individual
sim1997	healthy	all	0 to 17 years	0	17	93.33	61.91	5777.57	1444.3925	15.4775	individual
sim1997	healthy	all	0 to 17 years	0	17	86.94	54.17	4709.49	1177.3725	13.5425	individual
sim1997	healthy	all	0 to 17 years	0	17	84.03	64.44	5414.88	1353.72	16.11	individual
sim1997	healthy	all	0 to 17 years	0	17	80.98	62.3	5044.97	1261.2425	15.575	individual
sim1997	healthy	all	0 to 17 years	0	17	80.99	49.2	3984.58	996.145	12.3	individual
sim1997	healthy	all	0 to 17 years	0	17	82.02	41.64	3414.82	853.705	10.41	individual
sim1997	healthy	all	0 to 17 years	0	17	78.07	62.23	4858.53	1214.6325	15.5575	individual
sim1997	healthy	all	0 to 17 years	0	17	74	68.34	5057.08	1264.27	17.085	individual
sim1997	healthy	all	0 to 17 years	0	17	72.94	45.9	3347.64	836.91	11.475	individual
sim1997	healthy	all	0 to 17 years	0	17	67.97	68.54	4658.7	1164.675	17.135	individual
sim1997	healthy	all	0 to 17 years	0	17	66.89	66.1	4421.02	1105.255	16.525	individual
sim1997	healthy	all	0 to 17 years	0	17	67.91	59.23	4022.03	1005.5075	14.8075	individual
sim1997	healthy	all	0 to 17 years	0	17	69.97	39.28	2747.89	686.9725	9.82	individual
sim1997	healthy	all	0 to 17 years	0	17	68.8	41.32	2842.59	710.6475	10.33	individual
sim1997	healthy	all	0 to 17 years	0	17	64.94	49.84	3236.99	809.2475	12.46	individual
sim1997	healthy	all	0 to 17 years	0	17	63.95	27.75	1774.65	443.6625	6.9375	individual
sim1997	healthy	all	0 to 17 years	0	17	61.91	34.6	2141.93	535.4825	8.65	individual
sim1997	healthy	all	0 to 17 years	0	17	62.84	48.76	3063.88	765.97	12.19	individual
sim1997	healthy	all	0 to 17 years	0	17	60.81	48.36	2940.8	735.2	12.09	individual
sim1997	healthy	all	0 to 17 years	0	17	59.86	49.03	2935.03	733.7575	12.2575	individual
sim1997	healthy	all	0 to 17 years	0	17	63.99	60.86	3893.94	973.485	15.215	individual
sim1997	healthy	all	0 to 17 years	0	17	60.55	79.39	4807.56	1201.89	19.8475	individual
sim1997	healthy	all	0 to 17 years	0	17	59.92	65.24	3908.87	977.2175	16.31	individual
sim1997	healthy	all	0 to 17 years	0	17	60.86	63.19	3846.07	961.5175	15.7975	individual
sim1997	healthy	all	0 to 17 years	0	17	58.98	54.87	3236.5	809.125	13.7175	individual
sim1997	healthy	all	0 to 17 years	0	17	56.88	55.51	3157.24	789.31	13.8775	individual
sim1997	healthy	all	0 to 17 years	0	17	56.87	60.68	3451.08	862.77	15.17	individual
sim1997	healthy	all	0 to 17 years	0	17	56.87	65.17	3705.7	926.425	16.2925	individual
sim1997	healthy	all	0 to 17 years	0	17	55.92	64.45	3604.38	901.095	16.1125	individual
sim1997	healthy	all	0 to 17 years	0	17	55.85	68.24	3811.17	952.7925	17.06	individual
sim1997	healthy	all	0 to 17 years	0	17	57.8	71.74	4146.78	1036.695	17.935	individual
sim1997	healthy	all	0 to 17 years	0	17	56.93	74.82	4259.49	1064.8725	18.705	individual
sim1997	healthy	all	0 to 17 years	0	17	54.74	82.7	4527.11	1131.7775	20.675	individual
sim1997	healthy	all	0 to 17 years	0	17	54.82	73.39	4023.62	1005.905	18.3475	individual
sim1997	healthy	all	0 to 17 years	0	17	53.81	72.33	3892.11	973.0275	18.0825	individual
sim1997	healthy	all	0 to 17 years	0	17	52.8	67.48	3562.77	890.6925	16.87	individual
sim1997	healthy	all	0 to 17 years	0	17	53.82	63.71	3428.84	857.21	15.9275	individual
sim1997	healthy	all	0 to 17 years	0	17	51.72	57.46	2971.46	742.865	14.365	individual
sim1997	healthy	all	0 to 17 years	0	17	51.72	54.01	2793.33	698.3325	13.5025	individual
sim1997	healthy	all	0 to 17 years	0	17	47.88	44.6	2135.76	533.94	11.15	individual
sim1997	healthy	all	0 to 17 years	0	17	47.8	49.77	2379.45	594.8625	12.4425	individual
sim1997	healthy	all	0 to 17 years	0	17	45.77	48.69	2228.7	557.175	12.1725	individual
sim1997	healthy	all	0 to 17 years	0	17	45.84	52.14	2390.2	597.55	13.035	individual
sim1997	healthy	all	0 to 17 years	0	17	46.78	58.37	2730.49	682.6225	14.5925	individual
sim1997	healthy	all	0 to 17 years	0	17	45.76	60.42	2764.57	691.1425	15.105	individual
sim1997	healthy	all	0 to 17 years	0	17	45.32	65.23	2956.23	739.0575	16.3075	individual
sim1997	healthy	all	0 to 17 years	0	17	44.81	65.22	2922.52	730.63	16.305	individual
sim1997	healthy	all	0 to 17 years	0	17	44.95	69.71	3133.33	783.3325	17.4275	individual
sim1997	healthy	all	0 to 17 years	0	17	45.24	74.89	3387.49	846.8725	18.7225	individual
sim1997	healthy	all	0 to 17 years	0	17	46.69	69.75	3256.79	814.1975	17.4375	individual
sim1997	healthy	all	0 to 17 years	0	17	48	69.09	3316.42	829.105	17.2725	individual
sim1997	healthy	all	0 to 17 years	0	17	47.71	65.63	3131.74	782.935	16.4075	individual
sim1997	healthy	all	0 to 17 years	0	17	48.87	75.66	3697.32	924.33	18.915	individual
sim1997	healthy	all	0 to 17 years	0	17	48.86	79.11	3865.53	966.3825	19.7775	individual
sim1997	healthy	all	0 to 17 years	0	17	51.78	70.22	3635.52	908.88	17.555	individual
sim1997	healthy	all	0 to 17 years	0	17	50.82	84.33	4285.45	1071.3625	21.0825	individual
sim1997	healthy	all	0 to 17 years	0	17	50.89	88.47	4501.85	1125.4625	22.1175	individual
sim1997	healthy	all	0 to 17 years	0	17	48.92	93.25	4561.77	1140.4425	23.3125	individual
sim1997	healthy	all	0 to 17 years	0	17	47.83	93.57	4475.39	1118.8475	23.3925	individual
sim1997	healthy	all	0 to 17 years	0	17	47.91	87.36	4185.53	1046.3825	21.84	individual
sim1997	healthy	all	0 to 17 years	0	17	47.41	75.63	3585.77	896.4425	18.9075	individual
sim1997	healthy	all	0 to 17 years	0	17	46.75	81.13	3793.1	948.275	20.2825	individual
sim1997	healthy	all	0 to 17 years	0	17	45.88	86.28	3958.28	989.57	21.57	individual
sim1997	healthy	all	0 to 17 years	0	17	45	89.36	4021.52	1005.38	22.34	individual
sim1997	healthy	all	0 to 17 years	0	17	43.78	77.26	3382.67	845.6675	19.315	individual
sim1997	healthy	all	0 to 17 years	0	17	43.64	69.67	3040.84	760.21	17.4175	individual
sim1997	healthy	all	0 to 17 years	0	17	44.92	97.64	4385.91	1096.4775	24.41	individual
sim1997	healthy	all	0 to 17 years	0	17	44.92	102.46	4602.23	1150.5575	25.615	individual
sim1997	healthy	all	0 to 17 years	0	17	44.91	105.22	4725.82	1181.455	26.305	individual
sim1997	healthy	all	0 to 17 years	0	17	43.75	102.78	4497	1124.25	25.695	individual
sim1997	healthy	all	0 to 17 years	0	17	41.87	99.29	4157.04	1039.26	24.8225	individual
sim1997	healthy	all	0 to 17 years	0	17	40.42	100.29	4053.12	1013.28	25.0725	individual
sim1997	healthy	all	0 to 17 years	0	17	39.84	98.2	3912.1	978.025	24.55	individual
sim1997	healthy	all	0 to 17 years	0	17	39.84	91.31	3638.04	909.51	22.8275	individual
sim1997	healthy	all	0 to 17 years	0	17	39.78	86.48	3439.79	859.9475	21.62	individual
sim1997	healthy	all	0 to 17 years	0	17	40.8	82.71	3374.32	843.58	20.6775	individual
sim1997	healthy	all	0 to 17 years	0	17	41.81	82.73	3459.43	864.8575	20.6825	individual
sim1997	healthy	all	0 to 17 years	0	17	42.03	80.33	3376.43	844.1075	20.0825	individual
sim1997	healthy	all	0 to 17 years	0	17	40.81	74.09	3023.31	755.8275	18.5225	individual
sim1997	healthy	all	0 to 17 years	0	17	39.79	78.2	3111.31	777.8275	19.55	individual
sim1997	healthy	all	0 to 17 years	0	17	39.78	81.31	3234.51	808.6275	20.3275	individual
sim1997	healthy	all	0 to 17 years	0	17	38.98	82.32	3209.04	802.26	20.58	individual
sim1997	healthy	all	0 to 17 years	0	17	37.75	76.08	2872.5	718.125	19.02	individual
sim1997	healthy	all	0 to 17 years	0	17	38.42	61.27	2354.32	588.58	15.3175	individual
sim1997	healthy	all	0 to 17 years	0	17	37.84	59.53	2253.06	563.265	14.8825	individual
sim1997	healthy	all	0 to 17 years	0	17	35.82	48.8	1748.01	437.0025	12.2	individual
sim1997	healthy	all	0 to 17 years	0	17	35.73	63.28	2261.17	565.2925	15.82	individual
sim1997	healthy	all	0 to 17 years	0	17	31.89	60.77	1937.86	484.465	15.1925	individual
sim1997	healthy	all	0 to 17 years	0	17	30.87	64.19	1981.53	495.3825	16.0475	individual
sim1997	healthy	all	0 to 17 years	0	17	30.86	69.02	2130.19	532.5475	17.255	individual
sim1997	healthy	all	0 to 17 years	0	17	25.86	63.73	1647.85	411.9625	15.9325	individual
sim1997	healthy	all	0 to 17 years	0	17	22.72	74.69	1697.12	424.28	18.6725	individual
sim1997	healthy	all	0 to 17 years	0	17	23.81	74.37	1770.92	442.73	18.5925	individual
sim1997	healthy	all	0 to 17 years	0	17	25.92	75.8	1964.49	491.1225	18.95	individual
sim1997	healthy	all	0 to 17 years	0	17	29.77	76.93	2289.7	572.425	19.2325	individual
sim1997	healthy	all	0 to 17 years	0	17	30.93	75.23	2326.77	581.6925	18.8075	individual
sim1997	healthy	all	0 to 17 years	0	17	30.85	80.4	2480.4	620.1	20.1	individual
sim1997	healthy	all	0 to 17 years	0	17	31.72	83.18	2638.39	659.5975	20.795	individual
sim1997	healthy	all	0 to 17 years	0	17	32.67	76.31	2492.97	623.2425	19.0775	individual
sim1997	healthy	all	0 to 17 years	0	17	34.85	73.26	2553.13	638.2825	18.315	individual
sim1997	healthy	all	0 to 17 years	0	17	35.8	73.97	2647.74	661.935	18.4925	individual
sim1997	healthy	all	0 to 17 years	0	17	35.86	79.49	2850.59	712.6475	19.8725	individual
sim1997	healthy	all	0 to 17 years	0	17	35.79	82.93	2967.86	741.965	20.7325	individual
sim1997	healthy	all	0 to 17 years	0	17	34.77	83.25	2894.65	723.6625	20.8125	individual
sim1997	healthy	all	0 to 17 years	0	17	33.75	84.95	2867.22	716.805	21.2375	individual
sim1997	healthy	all	0 to 17 years	0	17	34.84	88.77	3092.46	773.115	22.1925	individual
sim1997	healthy	all	0 to 17 years	0	17	35.71	88.45	3158.29	789.5725	22.1125	individual
sim1997	healthy	all	0 to 17 years	0	17	36.87	85.72	3160.64	790.16	21.43	individual
sim1997	healthy	all	0 to 17 years	0	17	36.87	90.89	3350.86	837.715	22.7225	individual
sim1997	healthy	all	0 to 17 years	0	17	37.73	94.36	3560.64	890.16	23.59	individual
sim1997	healthy	all	0 to 17 years	0	17	36.86	93.99	3464.96	866.24	23.4975	individual
sim1997	healthy	all	0 to 17 years	0	17	35.77	94.31	3373.93	843.4825	23.5775	individual
sim1997	healthy	all	0 to 17 years	0	17	36.86	99.17	3655.08	913.77	24.7925	individual
sim1997	healthy	all	0 to 17 years	0	17	37.73	101.6	3833.09	958.2725	25.4	individual
sim1997	healthy	all	0 to 17 years	0	17	34.82	100.15	3487.64	871.91	25.0375	individual
sim1997	healthy	all	0 to 17 years	0	17	34.17	98.41	3362.92	840.73	24.6025	individual
sim1997	healthy	all	0 to 17 years	0	17	32.8	93.9	3079.49	769.8725	23.475	individual
sim1997	healthy	all	0 to 17 years	0	17	31.71	91.11	2889.18	722.295	22.7775	individual
sim1997	healthy	all	0 to 17 years	0	17	29.83	84.86	2531.26	632.815	21.215	individual
sim1997	healthy	all	0 to 17 years	0	17	29.61	81.75	2420.99	605.2475	20.4375	individual
sim1997	healthy	all	0 to 17 years	0	17	27.94	85.5	2388.97	597.2425	21.375	individual
sim1997	healthy	all	0 to 17 years	0	17	24.89	85.43	2126.35	531.5875	21.3575	individual
sim1997	healthy	all	0 to 17 years	0	17	23.73	82.3	1953.06	488.265	20.575	individual
sim1997	healthy	all	0 to 17 years	0	17	23.8	84.37	2008.14	502.035	21.0925	individual
sim1997	healthy	all	0 to 17 years	0	17	21.69	88.45	1918.74	479.685	22.1125	individual
sim1997	healthy	all	0 to 17 years	0	17	21.69	90.52	1963.42	490.855	22.63	individual
sim1997	healthy	all	0 to 17 years	0	17	20.88	96.02	2005.4	501.35	24.005	individual
sim1997	healthy	all	0 to 17 years	0	17	20.88	98.78	2062.72	515.68	24.695	individual
sim1997	healthy	all	0 to 17 years	0	17	19.86	101.17	2009.49	502.3725	25.2925	individual
sim1997	healthy	all	0 to 17 years	0	17	21.74	106.73	2320.87	580.2175	26.6825	individual
sim1997	healthy	all	0 to 17 years	0	17	19.85	111.17	2206.92	551.73	27.7925	individual
sim1997	healthy	all	0 to 17 years	0	17	19.85	115.65	2295.36	573.84	28.9125	individual
sim1997	healthy	all	0 to 17 years	0	17	20.87	113.95	2377.69	594.4225	28.4875	individual
sim1997	healthy	all	0 to 17 years	0	17	21.73	117.42	2551.97	637.9925	29.355	individual
sim1997	healthy	all	0 to 17 years	0	17	20.71	128.09	2652.06	663.015	32.0225	individual
sim1997	healthy	all	0 to 17 years	0	17	21.43	131.55	2818.87	704.7175	32.8875	individual
sim1997	healthy	all	0 to 17 years	0	17	22.88	133.66	3057.78	764.445	33.415	individual
sim1997	healthy	all	0 to 17 years	0	17	23.82	134.37	3200.83	800.2075	33.5925	individual
sim1997	healthy	all	0 to 17 years	0	17	23.75	136.78	3248	812	34.195	individual
sim1997	healthy	all	0 to 17 years	0	17	25.7	140.97	3623.15	905.7875	35.2425	individual
sim1997	healthy	all	0 to 17 years	0	17	25.85	138.56	3581.68	895.42	34.64	individual
sim1997	healthy	all	0 to 17 years	0	17	26.07	136.15	3549.44	887.36	34.0375	individual
sim1997	healthy	all	0 to 17 years	0	17	28.83	136.9	3946.84	986.71	34.225	individual
sim1997	healthy	all	0 to 17 years	0	17	28.9	143.46	4145.18	1036.295	35.865	individual
